letter	frequency
neural networks	1.0
languages	0.8518965097639785
nlp	0.7509231915457881
state	0.7077552796344373
neural	0.6535395319267563
programming languages	0.5925368434783045
han	0.49878929850787873
networks	0.45155039947604675
attention	0.3980654456039431
lstm	0.3934745774581273
output	0.3230884313818403
machine learning	0.3034921498486556
rita mae brown	0.26704441019639147
bert	0.2307595155133881
model	0.18278956748036984
google	0.15078964059555955
previous state	0.11365667514395593
language representation model	0.08860690093315989
rnn	0.0725742438446321
words	0.0
